[Abbess, male: 0, female: 7, ratio: 0.0
, Daughters, male: 0, female: 2, ratio: 0.0
, Deaconess, male: 0, female: 1, ratio: 0.0
, Debut, male: 0, female: 1, ratio: 0.0
, Debutante, male: 0, female: 1, ratio: 0.0
, Deelstra, male: 0, female: 1, ratio: 0.0
, Deities, male: 0, female: 1, ratio: 0.0
, Delaney, male: 0, female: 1, ratio: 0.0
, Denmark, male: 0, female: 2, ratio: 0.0
, Dietitian, male: 0, female: 1, ratio: 0.0
, Disco, male: 0, female: 1, ratio: 0.0
, Diva, male: 0, female: 1, ratio: 0.0
, Divas, male: 0, female: 1, ratio: 0.0
, Diyas, male: 0, female: 1, ratio: 0.0
, Dock, male: 0, female: 1, ratio: 0.0
, Dogaressa, male: 0, female: 8, ratio: 0.0
, Dollmaker, male: 0, female: 1, ratio: 0.0
, Donna, male: 0, female: 2, ratio: 0.0
, Dowager, male: 0, female: 2, ratio: 0.0
, Dresser, male: 0, female: 1, ratio: 0.0
, Dublin, male: 0, female: 1, ratio: 0.0
, Dubos, male: 0, female: 1, ratio: 0.0
, Duchess, male: 0, female: 15, ratio: 0.0
, Dusautoir, male: 0, female: 1, ratio: 0.0
, Duval, male: 0, female: 1, ratio: 0.0
, Earthworms, male: 0, female: 1, ratio: 0.0
, Eberle, male: 0, female: 1, ratio: 0.0
, Education, male: 0, female: 1, ratio: 0.0
, Elder, male: 0, female: 1, ratio: 0.0
, Electress, male: 0, female: 1, ratio: 0.0
, Eleventh, male: 0, female: 1, ratio: 0.0
, Elfving, male: 0, female: 1, ratio: 0.0
, Elite, male: 0, female: 1, ratio: 0.0
, Elocutionist, male: 0, female: 1, ratio: 0.0
, Emerita, male: 0, female: 11, ratio: 0.0
, Empress, male: 0, female: 19, ratio: 0.0
, Empress-consort, male: 0, female: 1, ratio: 0.0
, Enamelist, male: 0, female: 1, ratio: 0.0
, Englishwoman, male: 0, female: 1, ratio: 0.0
, Entrepreneuse, male: 0, female: 1, ratio: 0.0
, Equestrienne, male: 0, female: 1, ratio: 0.0
, Ethicist, male: 0, female: 1, ratio: 0.0
, Ethnohistorian, male: 0, female: 1, ratio: 0.0
, Ex-wife, male: 0, female: 1, ratio: 0.0
, Execution, male: 0, female: 1, ratio: 0.0
, Expressionist, male: 0, female: 1, ratio: 0.0
, F, male: 0, female: 1, ratio: 0.0
, Fastrada, male: 0, female: 1, ratio: 0.0
, Favero, male: 0, female: 1, ratio: 0.0
, Favorite, male: 0, female: 1, ratio: 0.0
, Female, male: 0, female: 1, ratio: 0.0
, Feminist, male: 0, female: 22, ratio: 0.0
, Fenn, male: 0, female: 1, ratio: 0.0
, Ferreyra, male: 0, female: 1, ratio: 0.0
, Fiber, male: 0, female: 1, ratio: 0.0
, Field, male: 0, female: 1, ratio: 0.0
, Filipina, male: 0, female: 1, ratio: 0.0
, Finalist, male: 0, female: 2, ratio: 0.0
, Fire, male: 0, female: 1, ratio: 0.0
, Fitness, male: 0, female: 1, ratio: 0.0
, Flier, male: 0, female: 1, ratio: 0.0
, Florist, male: 0, female: 1, ratio: 0.0
, Flower, male: 0, female: 1, ratio: 0.0
, Flute, male: 0, female: 1, ratio: 0.0
, Foilist, male: 0, female: 1, ratio: 0.0
, Former, male: 0, female: 2, ratio: 0.0
, Founding, male: 0, female: 1, ratio: 0.0
, Fox, male: 0, female: 1, ratio: 0.0
, Francisco, male: 0, female: 1, ratio: 0.0
, Freedwoman, male: 0, female: 1, ratio: 0.0
, Freeholder, male: 0, female: 1, ratio: 0.0
, Frenchwoman, male: 0, female: 1, ratio: 0.0
, Funlola, male: 0, female: 1, ratio: 0.0
, Gal, male: 0, female: 1, ratio: 0.0
, Gallardo, male: 0, female: 1, ratio: 0.0
, Garage, male: 0, female: 1, ratio: 0.0
, Gaunt, male: 0, female: 1, ratio: 0.0
, Gemologist, male: 0, female: 1, ratio: 0.0
, Generation, male: 0, female: 1, ratio: 0.0
, Gentlewoman, male: 0, female: 1, ratio: 0.0
, Geodesist, male: 0, female: 1, ratio: 0.0
, Geomicrobiologist, male: 0, female: 1, ratio: 0.0
, Girl, male: 0, female: 15, ratio: 0.0
, Glamour, male: 0, female: 1, ratio: 0.0
, Glazier, male: 0, female: 1, ratio: 0.0
, Gloria, male: 0, female: 1, ratio: 0.0
, Golf, male: 0, female: 1, ratio: 0.0
, González, male: 0, female: 1, ratio: 0.0
, Good, male: 0, female: 1, ratio: 0.0
, Goodman, male: 0, female: 1, ratio: 0.0
, Gospel, male: 0, female: 1, ratio: 0.0
, Gove, male: 0, female: 1, ratio: 0.0
, Governess, male: 0, female: 1, ratio: 0.0
, Graces, male: 0, female: 1, ratio: 0.0
, Graduates, male: 0, female: 1, ratio: 0.0
, Graffiti, male: 0, female: 1, ratio: 0.0
, Granddaughter, male: 0, female: 1, ratio: 0.0
, Grandmother, male: 0, female: 1, ratio: 0.0
, Graßl, male: 0, female: 1, ratio: 0.0
, Grewal, male: 0, female: 1, ratio: 0.0
, Groll, male: 0, female: 1, ratio: 0.0
, Guillem, male: 0, female: 1, ratio: 0.0
, Haematologist, male: 0, female: 2, ratio: 0.0
, Hape, male: 0, female: 1, ratio: 0.0
, Hardstyle, male: 0, female: 1, ratio: 0.0
, Hatun, male: 0, female: 1, ratio: 0.0
, Havas, male: 0, female: 1, ratio: 0.0
, Headmistress, male: 0, female: 2, ratio: 0.0
, Heiress, male: 0, female: 12, ratio: 0.0
, Hejdová, male: 0, female: 1, ratio: 0.0
, Heptathlete, male: 0, female: 8, ratio: 0.0
, Heroes, male: 0, female: 1, ratio: 0.0
, Heroine, male: 0, female: 8, ratio: 0.0
, Heroines, male: 0, female: 1, ratio: 0.0
, Hertz, male: 0, female: 1, ratio: 0.0
, Hijackers, male: 0, female: 1, ratio: 0.0
, Hiker, male: 0, female: 1, ratio: 0.0
, Hollywood, male: 0, female: 1, ratio: 0.0
, Holmström, male: 0, female: 1, ratio: 0.0
, Home, male: 0, female: 1, ratio: 0.0
, Homemaker, male: 0, female: 3, ratio: 0.0
, Homeowner, male: 0, female: 1, ratio: 0.0
, Hong, male: 0, female: 1, ratio: 0.0
, Horsewoman, male: 0, female: 1, ratio: 0.0
, Hostess, male: 0, female: 8, ratio: 0.0
, Housewife, male: 0, female: 2, ratio: 0.0
, Hula, male: 0, female: 1, ratio: 0.0
, Hurdles, male: 0, female: 1, ratio: 0.0
, Hussein, male: 0, female: 1, ratio: 0.0
, IFBB, male: 0, female: 1, ratio: 0.0
, IV, male: 0, female: 1, ratio: 0.0
, Idol, male: 0, female: 12, ratio: 0.0
, Improviser, male: 0, female: 1, ratio: 0.0
, Incubation, male: 0, female: 1, ratio: 0.0
, Indian, male: 0, female: 1, ratio: 0.0
, Indiana, male: 0, female: 1, ratio: 0.0
, Infanta, male: 0, female: 3, ratio: 0.0
, Instrument, male: 0, female: 1, ratio: 0.0
, Insurgent, male: 0, female: 1, ratio: 0.0
, Interested, male: 0, female: 1, ratio: 0.0
, Interests, male: 0, female: 1, ratio: 0.0
, Intern, male: 0, female: 1, ratio: 0.0
, Interrogator, male: 0, female: 1, ratio: 0.0
, Interviewer, male: 0, female: 1, ratio: 0.0
, Iran, male: 0, female: 1, ratio: 0.0
, Irishwoman, male: 0, female: 1, ratio: 0.0
, Ishikawa, male: 0, female: 1, ratio: 0.0
, Israel, male: 0, female: 1, ratio: 0.0
, Ivers, male: 0, female: 1, ratio: 0.0
, Ivorian, male: 0, female: 1, ratio: 0.0
, Javelin, male: 0, female: 1, ratio: 0.0
, Jenkin, male: 0, female: 1, ratio: 0.0
, Jensen, male: 0, female: 1, ratio: 0.0
, Jeweler, male: 0, female: 1, ratio: 0.0
, Jiménez, male: 0, female: 1, ratio: 0.0
, Jin, male: 0, female: 1, ratio: 0.0
, Journalists, male: 0, female: 1, ratio: 0.0
, Jötunn, male: 0, female: 1, ratio: 0.0
, Kamisaka, male: 0, female: 1, ratio: 0.0
, Kandake, male: 0, female: 1, ratio: 0.0
, Kate, male: 0, female: 1, ratio: 0.0
, Kazakhstan, male: 0, female: 1, ratio: 0.0
, Kazakhstani, male: 0, female: 2, ratio: 0.0
, Kear, male: 0, female: 1, ratio: 0.0
, Keith, male: 0, female: 1, ratio: 0.0
, Kemble, male: 0, female: 1, ratio: 0.0
, Kenya, male: 0, female: 1, ratio: 0.0
, Kingdom, male: 0, female: 1, ratio: 0.0
, Klaus, male: 0, female: 1, ratio: 0.0
, Ko, male: 0, female: 1, ratio: 0.0
, Koch, male: 0, female: 1, ratio: 0.0
, Kormann, male: 0, female: 1, ratio: 0.0
, Krajicek, male: 0, female: 1, ratio: 0.0
, Kular, male: 0, female: 1, ratio: 0.0
, Kutcher, male: 0, female: 1, ratio: 0.0
, Lacaze, male: 0, female: 1, ratio: 0.0
, Lady, male: 0, female: 38, ratio: 0.0
, Lambert, male: 0, female: 1, ratio: 0.0
, Landgravine, male: 0, female: 1, ratio: 0.0
, Latimore, male: 0, female: 1, ratio: 0.0
, Latina, male: 0, female: 1, ratio: 0.0
, Layla, male: 0, female: 1, ratio: 0.0
, Laywoman, male: 0, female: 1, ratio: 0.0
, LeBoeuf, male: 0, female: 1, ratio: 0.0
, Lebanon, male: 0, female: 1, ratio: 0.0
, Ledoux, male: 0, female: 1, ratio: 0.0
, Leninist, male: 0, female: 1, ratio: 0.0
, Lesbian, male: 0, female: 1, ratio: 0.0
, Librarians, male: 0, female: 1, ratio: 0.0
, Lifecaster, male: 0, female: 1, ratio: 0.0
, Lindy, male: 0, female: 1, ratio: 0.0
, Litvinova, male: 0, female: 1, ratio: 0.0
, Lottner, male: 0, female: 1, ratio: 0.0
, Lover, male: 0, female: 1, ratio: 0.0
, Lua, male: 0, female: 1, ratio: 0.0
, Luchadora, male: 0, female: 1, ratio: 0.0
, Lydia, male: 0, female: 1, ratio: 0.0
, Lyric, male: 0, female: 1, ratio: 0.0
, MBA, male: 0, female: 1, ratio: 0.0
, MacLeod, male: 0, female: 1, ratio: 0.0
, Macurová, male: 0, female: 1, ratio: 0.0
, Madam, male: 0, female: 2, ratio: 0.0
, Maharat, male: 0, female: 1, ratio: 0.0
, Maid, male: 0, female: 2, ratio: 0.0
, Marand, male: 0, female: 1, ratio: 0.0
, Marchioness, male: 0, female: 3, ratio: 0.0
, Margravine, male: 0, female: 2, ratio: 0.0
, Maria, male: 0, female: 1, ratio: 0.0
, Marian, male: 0, female: 1, ratio: 0.0
, Marriage, male: 0, female: 1, ratio: 0.0
, Martineau, male: 0, female: 1, ratio: 0.0
, Martyrs, male: 0, female: 1, ratio: 0.0
, Marvel, male: 0, female: 1, ratio: 0.0
, Masters, male: 0, female: 1, ratio: 0.0
, Masterson, male: 0, female: 1, ratio: 0.0
, Matadora, male: 0, female: 1, ratio: 0.0
, Matai, male: 0, female: 2, ratio: 0.0
, Matriarch, male: 0, female: 2, ratio: 0.0
, Matriarchy, male: 0, female: 1, ratio: 0.0
, Matron, male: 0, female: 1, ratio: 0.0
, Mattes, male: 0, female: 1, ratio: 0.0
, Medley, male: 0, female: 1, ratio: 0.0
, Memorabilia, male: 0, female: 1, ratio: 0.0
, Mercier, male: 0, female: 1, ratio: 0.0
, Mesa, male: 0, female: 1, ratio: 0.0
, Meyer, male: 0, female: 1, ratio: 0.0
, Mezzo-soprano, male: 0, female: 1, ratio: 0.0
, Mezzosoprano, male: 0, female: 1, ratio: 0.0
, Middleton, male: 0, female: 1, ratio: 0.0
, Midfield, male: 0, female: 2, ratio: 0.0
, Midwife, male: 0, female: 5, ratio: 0.0
, Mihajlović, male: 0, female: 1, ratio: 0.0
, Mills, male: 0, female: 1, ratio: 0.0
, Minella, male: 0, female: 1, ratio: 0.0
, Miniature, male: 0, female: 1, ratio: 0.0
, Mistress, male: 0, female: 11, ratio: 0.0
, Mistresses, male: 0, female: 1, ratio: 0.0
, Mitchell, male: 0, female: 1, ratio: 0.0
, Mitrovic, male: 0, female: 1, ratio: 0.0
, Modern, male: 0, female: 1, ratio: 0.0
, Mohanty, male: 0, female: 1, ratio: 0.0
, Moll, male: 0, female: 1, ratio: 0.0
, Montreal, male: 0, female: 1, ratio: 0.0
, Mother, male: 0, female: 23, ratio: 0.0
, Mother-in-law, male: 0, female: 2, ratio: 0.0
, Mukomberanwa, male: 0, female: 1, ratio: 0.0
, Musical, male: 0, female: 1, ratio: 0.0
, Myanmar, male: 0, female: 1, ratio: 0.0
, Mylott, male: 0, female: 1, ratio: 0.0
, Mystery, male: 0, female: 1, ratio: 0.0
, Nadine, male: 0, female: 1, ratio: 0.0
, Naiad, male: 0, female: 2, ratio: 0.0
, Nayanmars, male: 0, female: 1, ratio: 0.0
, Neachtain, male: 0, female: 1, ratio: 0.0
, Neonatologist, male: 0, female: 1, ratio: 0.0
, Netball, male: 0, female: 1, ratio: 0.0
, Neuropathologist, male: 0, female: 1, ratio: 0.0
, Neuropsychologist, male: 0, female: 1, ratio: 0.0
, Newport, male: 0, female: 1, ratio: 0.0
, Niece, male: 0, female: 2, ratio: 0.0
, Niitsitapi, male: 0, female: 1, ratio: 0.0
, Noblewoman, male: 0, female: 82, ratio: 0.0
, Noblewomen, male: 0, female: 1, ratio: 0.0
, Norn, male: 0, female: 1, ratio: 0.0
, Norton, male: 0, female: 1, ratio: 0.0
, Novellist, male: 0, female: 1, ratio: 0.0
, Nun, male: 0, female: 35, ratio: 0.0
, Nurse, male: 0, female: 42, ratio: 0.0
, Nymph, male: 0, female: 2, ratio: 0.0
, Nébald, male: 0, female: 1, ratio: 0.0
, Objects, male: 0, female: 1, ratio: 0.0
, Obscenity, male: 0, female: 1, ratio: 0.0
, October, male: 0, female: 1, ratio: 0.0
, Oddity, male: 0, female: 1, ratio: 0.0
, Olympic medal, male: 0, female: 1, ratio: 0.0
, One-third, male: 0, female: 2, ratio: 0.0
, Organizers, male: 0, female: 1, ratio: 0.0
, Orman, male: 0, female: 1, ratio: 0.0
, Osaka, male: 0, female: 1, ratio: 0.0
, Packer, male: 0, female: 1, ratio: 0.0
, Pageant, male: 0, female: 2, ratio: 0.0
, Palaeoanthropologist, male: 0, female: 1, ratio: 0.0
, Pamplona, male: 0, female: 1, ratio: 0.0
, Paper, male: 0, female: 1, ratio: 0.0
, Parachutist, male: 0, female: 1, ratio: 0.0
, Paraglider, male: 0, female: 1, ratio: 0.0
, Parry, male: 0, female: 1, ratio: 0.0
, Paseka, male: 0, female: 1, ratio: 0.0
, Paszek, male: 0, female: 1, ratio: 0.0
, Patterson, male: 0, female: 1, ratio: 0.0
, Pauri, male: 0, female: 1, ratio: 0.0
, Peeress, male: 0, female: 1, ratio: 0.0
, Perceptual, male: 0, female: 1, ratio: 0.0
, Performance, male: 0, female: 1, ratio: 0.0
, Perrin, male: 0, female: 1, ratio: 0.0
, Personification, male: 0, female: 1, ratio: 0.0
, Perth, male: 0, female: 1, ratio: 0.0
, Peru, male: 0, female: 1, ratio: 0.0
, Pervak, male: 0, female: 1, ratio: 0.0
, Petričević, male: 0, female: 1, ratio: 0.0
, Pharmacists, male: 0, female: 1, ratio: 0.0
, Phonetician, male: 0, female: 1, ratio: 0.0
, Photo, male: 0, female: 1, ratio: 0.0
, Phycologist, male: 0, female: 1, ratio: 0.0
, Pictorial, male: 0, female: 1, ratio: 0.0
, Picture, male: 0, female: 3, ratio: 0.0
, Pietist, male: 0, female: 1, ratio: 0.0
, Pilkington, male: 0, female: 1, ratio: 0.0
, Pirazhenka, male: 0, female: 1, ratio: 0.0
, Platinum, male: 0, female: 1, ratio: 0.0
, Playmate, male: 0, female: 2, ratio: 0.0
, Poetess, male: 0, female: 1, ratio: 0.0
, Poindexter, male: 0, female: 1, ratio: 0.0
, Policy, male: 0, female: 1, ratio: 0.0
, Post, male: 0, female: 1, ratio: 0.0
, Poster, male: 0, female: 1, ratio: 0.0
, Postmistress, male: 0, female: 1, ratio: 0.0
, Pozzoni, male: 0, female: 1, ratio: 0.0
, Preparation, male: 0, female: 1, ratio: 0.0
, Priestess, male: 0, female: 3, ratio: 0.0
, Princess, male: 0, female: 87, ratio: 0.0
, Prioress, male: 0, female: 1, ratio: 0.0
, Prisoners, male: 0, female: 1, ratio: 0.0
, Producers, male: 0, female: 1, ratio: 0.0
, Profiler, male: 0, female: 1, ratio: 0.0
, Programmers, male: 0, female: 1, ratio: 0.0
, Project, male: 0, female: 2, ratio: 0.0
, Pronoun, male: 0, female: 1, ratio: 0.0
, Propagandist, male: 0, female: 1, ratio: 0.0
, Prostitute, male: 0, female: 3, ratio: 0.0
, Psychoanalysts, male: 0, female: 1, ratio: 0.0
, Quebecer, male: 0, female: 1, ratio: 0.0
, Queen, male: 0, female: 89, ratio: 0.0
, Quilter, male: 0, female: 1, ratio: 0.0
, Quiltmaker, male: 0, female: 1, ratio: 0.0
, Racette, male: 0, female: 1, ratio: 0.0
, Rapoport, male: 0, female: 1, ratio: 0.0
, Raymond, male: 0, female: 1, ratio: 0.0
, Realtor, male: 0, female: 1, ratio: 0.0
, Rees, male: 0, female: 1, ratio: 0.0
, Regents, male: 0, female: 1, ratio: 0.0
, Regnant, male: 0, female: 1, ratio: 0.0
, Research, male: 0, female: 1, ratio: 0.0
, Richard, male: 0, female: 1, ratio: 0.0
, Rodd, male: 0, female: 1, ratio: 0.0
, Roma, male: 0, female: 1, ratio: 0.0
, Royalty, male: 0, female: 1, ratio: 0.0
, Russian, male: 0, female: 1, ratio: 0.0
, Ryoko, male: 0, female: 1, ratio: 0.0
, Saadhika, male: 0, female: 1, ratio: 0.0
, Sadeh, male: 0, female: 1, ratio: 0.0
, Salgado, male: 0, female: 1, ratio: 0.0
, Salzman, male: 0, female: 1, ratio: 0.0
, Samba, male: 0, female: 1, ratio: 0.0
, Sanderson, male: 0, female: 1, ratio: 0.0
, Santour, male: 0, female: 1, ratio: 0.0
, Scheller, male: 0, female: 1, ratio: 0.0
, Scholarships, male: 0, female: 1, ratio: 0.0
, School, male: 0, female: 1, ratio: 0.0
, Schoolmistress, male: 0, female: 1, ratio: 0.0
, Schrijver, male: 0, female: 1, ratio: 0.0
, Sculpture, male: 0, female: 3, ratio: 0.0
, Seamstress, male: 0, female: 2, ratio: 0.0
, Secretaries, male: 0, female: 1, ratio: 0.0
, Sharpshooter, male: 0, female: 1, ratio: 0.0
, Sheard, male: 0, female: 1, ratio: 0.0
, Shopkeeper, male: 0, female: 2, ratio: 0.0
, Showgirl, male: 0, female: 3, ratio: 0.0
, Shuttler, male: 0, female: 1, ratio: 0.0
, Singaporean, male: 0, female: 1, ratio: 0.0
, Singer-songwriter, male: 0, female: 1, ratio: 0.0
, Sirkka, male: 0, female: 1, ratio: 0.0
, Sister, male: 0, female: 23, ratio: 0.0
, Sister-in-law, male: 0, female: 4, ratio: 0.0
, Skaters, male: 0, female: 1, ratio: 0.0
, Skit, male: 0, female: 1, ratio: 0.0
, Skydiver, male: 0, female: 1, ratio: 0.0
, Slalom, male: 0, female: 1, ratio: 0.0
, Sleeth, male: 0, female: 1, ratio: 0.0
, Sloan, male: 0, female: 1, ratio: 0.0
, Slovenia, male: 0, female: 1, ratio: 0.0
, Soca, male: 0, female: 2, ratio: 0.0
, Sociobiologist, male: 0, female: 1, ratio: 0.0
, Sokil, male: 0, female: 1, ratio: 0.0
, Solo, male: 0, female: 1, ratio: 0.0
, Sologne, male: 0, female: 1, ratio: 0.0
, Song, male: 0, female: 2, ratio: 0.0
, Sophie, male: 0, female: 1, ratio: 0.0
, Soprano, male: 0, female: 135, ratio: 0.0
, Speech, male: 0, female: 1, ratio: 0.0
, Spencer, male: 0, female: 1, ratio: 0.0
, Spinner, male: 0, female: 1, ratio: 0.0
, Spiritual, male: 0, female: 2, ratio: 0.0
, Sportswoman, male: 0, female: 4, ratio: 0.0
, Spouses, male: 0, female: 1, ratio: 0.0
, Starlet, male: 0, female: 1, ratio: 0.0
, Stars, male: 0, female: 1, ratio: 0.0
, States, male: 0, female: 1, ratio: 0.0
, Steinheimer, male: 0, female: 1, ratio: 0.0
, Stemme, male: 0, female: 1, ratio: 0.0
, Strauss, male: 0, female: 1, ratio: 0.0
, Stripper, male: 0, female: 1, ratio: 0.0
, Strongwoman, male: 0, female: 1, ratio: 0.0
, Stuntwoman, male: 0, female: 1, ratio: 0.0
, Suffragette, male: 0, female: 9, ratio: 0.0
, Suffragist, male: 0, female: 12, ratio: 0.0
, Sultana, male: 0, female: 2, ratio: 0.0
, Summers, male: 0, female: 1, ratio: 0.0
, Sun, male: 0, female: 2, ratio: 0.0
, Suo, male: 0, female: 1, ratio: 0.0
, Superheroine, male: 0, female: 2, ratio: 0.0
, Sutton, male: 0, female: 1, ratio: 0.0
, Sweetheart, male: 0, female: 1, ratio: 0.0
, Swidrak, male: 0, female: 1, ratio: 0.0
, Swordswoman, male: 0, female: 1, ratio: 0.0
, Syracuse, male: 0, female: 1, ratio: 0.0
, Szlachcianka, male: 0, female: 1, ratio: 0.0
, Sánchez, male: 0, female: 1, ratio: 0.0
, Taiwan, male: 0, female: 1, ratio: 0.0
, Taiwanese, male: 0, female: 1, ratio: 0.0
, Talib, male: 0, female: 1, ratio: 0.0
, Tappan, male: 0, female: 1, ratio: 0.0
, Tarento, male: 0, female: 1, ratio: 0.0
, Teaching, male: 0, female: 1, ratio: 0.0
, Technical, male: 0, female: 1, ratio: 0.0
, Telegraphist, male: 0, female: 1, ratio: 0.0
, Teller, male: 0, female: 1, ratio: 0.0
